Epoch 390: start=-2.5493, end=2.3047, tau=6.5643
Epoch 391: start=-2.5493, end=2.3047, tau=6.5643
Epoch 392: start=-2.5493, end=2.3047, tau=6.5643
Epoch 393: start=-2.5493, end=2.3047, tau=6.5642
Epoch 394: start=-2.5493, end=2.3047, tau=6.5642
Epoch 395: start=-2.5493, end=2.3047, tau=6.5638
Epoch 396: start=-2.5493, end=2.3047, tau=6.5642
Epoch 397: start=-2.5493, end=2.3047, tau=6.5641
Epoch 398: start=-2.5493, end=2.3047, tau=6.5643
Epoch 399: start=-2.5493, end=2.3047, tau=6.5644
Epoch 400: start=-2.5493, end=2.3046, tau=6.5647
Epoch 401: start=-2.5493, end=2.3047, tau=6.5646
Epoch 402: start=-2.5493, end=2.3047, tau=6.5646
Epoch 403: start=-2.5493, end=2.3047, tau=6.5646
Epoch 404: start=-2.5493, end=2.3047, tau=6.5646
Epoch 405: start=-2.5493, end=2.3047, tau=6.5645
Epoch 406: start=-2.5493, end=2.3047, tau=6.5645
Epoch 407: start=-2.5493, end=2.3047, tau=6.5645
Epoch 408: start=-2.5493, end=2.3047, tau=6.5645
Epoch 409: start=-2.5493, end=2.3047, tau=6.5645
Epoch 410: start=-2.5493, end=2.3047, tau=6.5644
Epoch 411: start=-2.5493, end=2.3047, tau=6.5645
Epoch 412: start=-2.5493, end=2.3047, tau=6.5645
Epoch 413: start=-2.5493, end=2.3047, tau=6.5645
Epoch 414: start=-2.5493, end=2.3047, tau=6.5645
Epoch 415: start=-2.5493, end=2.3047, tau=6.5646
Epoch 416: start=-2.5493, end=2.3047, tau=6.5646
Epoch 417: start=-2.5493, end=2.3047, tau=6.5646
Epoch 418: start=-2.5493, end=2.3047, tau=6.5646
Epoch 419: start=-2.5493, end=2.3047, tau=6.5646
Epoch 420: start=-2.5493, end=2.3047, tau=6.5646
Epoch 421: start=-2.5493, end=2.3047, tau=6.5646
<<<<<<< Updated upstream
Epoch 1: start=-2.4527, end=2.4483, tau=3.0000
<<<<<<< HEAD
Epoch 1: start=-2.4570, end=2.4515, tau=3.0000
Epoch 1: start=-2.4570, end=2.4515, tau=3.0000
Epoch 1: start=-2.4529, end=2.4503, tau=3.0000
Epoch 1: start=-2.4529, end=2.4503, tau=3.0000
=======
>>>>>>> parent of 40f394a (引入频域的扩散v1)
=======
>>>>>>> Stashed changes
